"time","Out1","Out2[1]","Out2[2]","Out3","Out4","Out5"
0.54,0.142291,0.025864,0.142291,0.686217,0.119588,0.0968842
0.55,0.147475,0.0273128,0.147475,0.701708,0.123556,0.099637
0.56,0.152745,0.0288138,0.152745,0.717302,0.12757,0.102395
0.57,0.158099,0.030368,0.158099,0.732999,0.131628,0.105157
0.58,0.163537,0.0319761,0.163537,0.7488,0.13573,0.107922
0.59,0.169059,0.033639,0.169059,0.764704,0.139874,0.110688
0.6,0.174664,0.0353575,0.174664,0.780713,0.144059,0.113454
0.61,0.180352,0.0371325,0.180352,0.796825,0.148285,0.116218
0.62,0.186122,0.0389648,0.186122,0.813042,0.152551,0.11898
0.63,0.191972,0.0408552,0.191972,0.829364,0.156855,0.121737
0.64,0.197904,0.0428046,0.197904,0.84579,0.161196,0.124488
0.65,0.203916,0.0448136,0.203916,0.862322,0.165574,0.127232
0.66,0.210008,0.0468831,0.210008,0.878958,0.169988,0.129968
0.67,0.216178,0.049014,0.216178,0.895701,0.174436,0.132695
0.68,0.222427,0.051207,0.222427,0.912549,0.178919,0.13541
0.69,0.228754,0.0534628,0.228754,0.929503,0.183434,0.138113
0.7,0.235158,0.0557823,0.235158,0.946564,0.18798,0.140803
0.71,0.241638,0.0581662,0.241638,0.963732,0.192558,0.143478
0.72,0.248194,0.0606153,0.248194,0.981006,0.197166,0.146137
0.73,0.254826,0.0631304,0.254826,0.998388,0.201802,0.148779
0.74,0.261531,0.0657121,0.261531,1.01588,0.206467,0.151402
0.75,0.268311,0.0683612,0.268311,1.03347,0.211158,0.154005
0.76,0.275164,0.0710786,0.275164,1.05118,0.215876,0.156588
0.77,0.282089,0.0738648,0.282089,1.069,0.220619,0.159148
0.78,0.289086,0.0767206,0.289086,1.08692,0.225386,0.161685
0.79,0.296155,0.0796467,0.296155,1.10495,0.230176,0.164198
0.8,0.303293,0.0826439,0.303293,1.1231,0.234989,0.166685
0.81,0.310502,0.0857128,0.310502,1.14135,0.239823,0.169145
0.82,0.317779,0.0888542,0.317779,1.15971,0.244678,0.171577
0.83,0.325124,0.0920686,0.325124,1.17819,0.249552,0.173981
0.84,0.332537,0.0953569,0.332537,1.19677,0.254445,0.176354
0.85,0.340017,0.0987196,0.340017,1.21547,0.259356,0.178695
0.86,0.347563,0.102157,0.347563,1.23428,0.264284,0.181005
0.87,0.355173,0.105671,0.355173,1.25321,0.269227,0.18328
0.88,0.362849,0.109261,0.362849,1.27224,0.274185,0.185522
0.89,0.370588,0.112928,0.370588,1.29139,0.279158,0.187727
0.9,0.37839,0.116673,0.37839,1.31066,0.284143,0.189897
0.91,0.386254,0.120496,0.386254,1.33004,0.289141,0.192028
0.92,0.39418,0.124398,0.39418,1.34954,0.29415,0.194121
0.93,0.402166,0.12838,0.402166,1.36915,0.29917,0.196174
0.94,0.410212,0.132442,0.410212,1.38888,0.304199,0.198186
0.95,0.418317,0.136584,0.418317,1.40872,0.309237,0.200157
0.96,0.42648,0.140808,0.42648,1.42868,0.314282,0.202084
0.97,0.4347,0.145114,0.4347,1.44877,0.319335,0.203969
0.98,0.442977,0.149503,0.442977,1.46897,0.324393,0.205808
0.99,0.45131,0.153974,0.45131,1.48929,0.329456,0.207603
1,0.459698,0.158529,0.459698,1.50973,0.334524,0.20935
1.01,0.468139,0.163168,0.468139,1.53029,0.339595,0.211051
1.02,0.476634,0.167892,0.476634,1.55097,0.344669,0.212703
1.03,0.485181,0.172701,0.485181,1.57177,0.349744,0.214306
1.04,0.49378,0.177596,0.49378,1.5927,0.354819,0.215859
1.05,0.502429,0.182577,0.502429,1.61375,0.359895,0.217361
1.06,0.511128,0.187645,0.511128,1.63493,0.36497,0.218811
1.07,0.519876,0.192799,0.519876,1.65623,0.370042,0.220209
1.08,0.528672,0.198042,0.528672,1.67765,0.375112,0.221553
1.09,0.537515,0.203373,0.537515,1.69921,0.380179,0.222843
1.1,0.546404,0.208793,0.546404,1.72089,0.385241,0.224078
1.11,0.555339,0.214301,0.555339,1.7427,0.390298,0.225258
1.12,0.564318,0.2199,0.564318,1.76464,0.395349,0.22638
1.13,0.57334,0.225588,0.57334,1.7867,0.400393,0.227445
1.14,0.582406,0.231367,0.582406,1.8089,0.405429,0.228453
1.15,0.591513,0.237236,0.591513,1.83123,0.410457,0.229401
1.16,0.600661,0.243197,0.600661,1.8537,0.415475,0.230289
1.17,0.609848,0.249249,0.609848,1.8763,0.420483,0.231118
1.18,0.619075,0.255394,0.619075,1.89903,0.42548,0.231885
1.19,0.62834,0.261631,0.62834,1.9219,0.430465,0.23259
1.2,0.637642,0.267961,0.637642,1.9449,0.435438,0.233233
1.21,0.646981,0.274384,0.646981,1.96804,0.440397,0.233813
1.22,0.656354,0.280901,0.656354,1.99132,0.445342,0.23433
1.23,0.665762,0.287511,0.665762,2.01474,0.450272,0.234781
1.24,0.675204,0.294216,0.675204,2.0383,0.455186,0.235168
1.25,0.684678,0.301015,0.684678,2.062,0.460084,0.235489
1.26,0.694183,0.30791,0.694183,2.08585,0.464964,0.235744
1.27,0.703719,0.314899,0.703719,2.10984,0.469826,0.235932
1.28,0.713285,0.321984,0.713285,2.13397,0.474669,0.236053
1.29,0.722879,0.329165,0.722879,2.15825,0.479492,0.236106
1.3,0.732501,0.336442,0.732501,2.18268,0.484296,0.23609
1.31,0.74215,0.343815,0.74215,2.20725,0.489077,0.236005
1.32,0.751825,0.351285,0.751825,2.23198,0.493837,0.23585
1.33,0.761524,0.358852,0.761524,2.25686,0.498575,0.235626
1.34,0.771247,0.366515,0.771247,2.28189,0.503289,0.23533
1.35,0.780993,0.374277,0.780993,2.30707,0.507978,0.234964
1.36,0.790761,0.382135,0.790761,2.33241,0.512643,0.234525
1.37,0.80055,0.390092,0.80055,2.3579,0.517283,0.234015
1.38,0.810359,0.398146,0.810359,2.38356,0.521896,0.233432
1.39,0.820187,0.406299,0.820187,2.40937,0.526482,0.232776
1.4,0.830033,0.41455,0.830033,2.43534,0.53104,0.232047
1.41,0.839896,0.4229,0.839896,2.46148,0.53557,0.231243
1.42,0.849775,0.431348,0.849775,2.48777,0.54007,0.230366
1.43,0.859668,0.439895,0.859668,2.51424,0.544541,0.229413
1.44,0.869576,0.448542,0.869576,2.54086,0.548981,0.228386
1.45,0.879497,0.457287,0.879497,2.56766,0.55339,0.227283
1.46,0.88943,0.466132,0.88943,2.59463,0.557767,0.226105
1.47,0.899374,0.475076,0.899374,2.62177,0.562112,0.22485
1.48,0.909328,0.484119,0.909328,2.64908,0.566423,0.223519
1.49,0.919292,0.493262,0.919292,2.67656,0.570701,0.22211
1.5,0.929263,0.502505,0.929263,2.70422,0.574944,0.220625
1.51,0.939241,0.511848,0.939241,2.73206,0.579152,0.219062
1.52,0.949226,0.52129,0.949226,2.76008,0.583324,0.217422
1.53,0.959215,0.530832,0.959215,2.78828,0.587459,0.215704
1.54,0.969209,0.540474,0.969209,2.81666,0.591558,0.213907
1.55,0.979205,0.550216,0.979205,2.84523,0.595618,0.212032
1.56,0.989204,0.560058,0.989204,2.87398,0.599641,0.210078
1.57,0.999204,0.57,0.999204,2.90293,0.603624,0.208045
1.58,1.0092,0.580042,1.0092,2.93206,0.607568,0.205933
1.59,1.0192,0.590184,1.0192,2.96138,0.611472,0.203741
1.6,1.0292,0.600426,1.0292,2.9909,0.615335,0.20147
1.61,1.03919,0.610768,1.03919,3.02062,0.619156,0.199119
1.62,1.04918,0.62121,1.04918,3.05053,0.622936,0.196688
1.63,1.05917,0.631752,1.05917,3.08065,0.626673,0.194178
1.64,1.06915,0.642394,1.06915,3.11096,0.630367,0.191586
1.65,1.07912,0.653135,1.07912,3.14148,0.634018,0.188915
1.66,1.08909,0.663976,1.08909,3.17221,0.637624,0.186163
1.67,1.09904,0.674917,1.09904,3.20315,0.641186,0.18333
1.68,1.10899,0.685957,1.10899,3.23429,0.644702,0.180417
1.69,1.11892,0.697096,1.11892,3.26565,0.648172,0.177423
1.7,1.12884,0.708335,1.12884,3.29723,0.651596,0.174348
1.71,1.13875,0.719673,1.13875,3.32902,0.654974,0.171193
1.72,1.14865,0.73111,1.14865,3.36103,0.658303,0.167956
1.73,1.15853,0.742646,1.15853,3.39327,0.661585,0.164638
1.74,1.1684,0.754281,1.1684,3.42573,0.664819,0.16124
1.75,1.17825,0.766014,1.17825,3.45842,0.668003,0.15776
1.76,1.18808,0.777846,1.18808,3.49133,0.671138,0.154199
1.77,1.19789,0.789776,1.19789,3.52448,0.674223,0.150557
1.78,1.20768,0.801803,1.20768,3.55787,0.677258,0.146835
1.79,1.21745,0.813929,1.21745,3.59149,0.680242,0.143031
1.8,1.2272,0.826152,1.2272,3.62535,0.683174,0.139147
1.81,1.23693,0.838473,1.23693,3.65945,0.686055,0.135181
1.82,1.24663,0.850891,1.24663,3.6938,0.688884,0.131135
1.83,1.25631,0.863406,1.25631,3.7284,0.691659,0.127008
1.84,1.26596,0.876017,1.26596,3.76324,0.694382,0.1228
1.85,1.27559,0.888725,1.27559,3.79834,0.697051,0.118512
1.86,1.28519,0.901529,1.28519,3.8337,0.699667,0.114144
1.87,1.29476,0.914428,1.29476,3.86931,0.702227,0.109695
1.88,1.3043,0.927424,1.3043,3.90519,0.704733,0.105166
1.89,1.31381,0.940514,1.31381,3.94133,0.707184,0.100557
1.9,1.32329,0.9537,1.32329,3.97774,0.709579,0.0958687
1.91,1.33274,0.96698,1.33274,4.01442,0.711918,0.0911003
1.92,1.34215,0.980355,1.34215,4.05138,0.714201,0.0862524
1.93,1.35153,0.993823,1.35153,4.08861,0.716427,0.0813253
1.94,1.36087,1.00739,1.36087,4.12612,0.718596,0.076319
1.95,1.37018,1.02104,1.37018,4.16391,0.720707,0.0712338
1.96,1.37945,1.03479,1.37945,4.20199,0.722761,0.06607
1.97,1.38868,1.04863,1.38868,4.24037,0.724756,0.0608277
1.98,1.39788,1.06256,1.39788,4.27903,0.726693,0.0555072
1.99,1.40703,1.07659,1.40703,4.31799,0.728571,0.0501088
2,1.41615,1.0907,1.41615,4.35725,0.73039,0.0446327
2.01,1.42522,1.10491,1.42522,4.39681,0.732149,0.0390792
2.02,1.43425,1.11921,1.43425,4.43668,0.733849,0.0334487
2.03,1.44323,1.13359,1.44323,4.47686,0.735488,0.0277413
2.04,1.45218,1.14807,1.45218,4.51736,0.737067,0.0219574
2.05,1.46107,1.16264,1.46107,4.55817,0.738585,0.0160973
2.06,1.46992,1.17729,1.46992,4.5993,0.740042,0.0101613
2.07,1.47873,1.19204,1.47873,4.64076,0.741438,0.00414986
2.08,1.48748,1.20687,1.48748,4.68254,0.742773,-0.0019368
2.09,1.49619,1.22179,1.49619,4.72466,0.744045,-0.00809827
2.1,1.50485,1.23679,1.50485,4.76711,0.745256,-0.0143342
2.11,1.51345,1.25188,1.51345,4.80991,0.746404,-0.0206442
2.12,1.52201,1.26706,1.52201,4.85304,0.74749,-0.0270279
2.13,1.53051,1.28232,1.53051,4.89653,0.748513,-0.0334849
2.14,1.53896,1.29767,1.53896,4.94036,0.749473,-0.0400147
2.15,1.54736,1.3131,1.54736,4.98456,0.75037,-0.046617
2.16,1.5557,1.32862,1.5557,5.02911,0.751204,-0.0532914
2.17,1.56399,1.34422,1.56399,5.07403,0.751974,-0.0600374
2.18,1.57221,1.3599,1.57221,5.11931,0.75268,-0.0668545
2.19,1.58039,1.37566,1.58039,5.16497,0.753322,-0.0737423
2.2,1.5885,1.3915,1.5885,5.211,0.7539,-0.0807004
2.21,1.59656,1.40743,1.59656,5.25742,0.754414,-0.0877283
2.22,1.60455,1.42343,1.60455,5.30422,0.754863,-0.0948254
2.23,1.61249,1.43952,1.61249,5.35142,0.755248,-0.101991
2.24,1.62036,1.45568,1.62036,5.399,0.755568,-0.109226
2.25,1.62817,1.47193,1.62817,5.44699,0.755823,-0.116528
2.26,1.63592,1.48825,1.63592,5.49538,0.756013,-0.123897
2.27,1.64361,1.50465,1.64361,5.54418,0.756138,-0.131333
2.28,1.65123,1.52112,1.65123,5.59339,0.756197,-0.138835
2.29,1.65879,1.53767,1.65879,5.64303,0.756191,-0.146403
2.3,1.66628,1.55429,1.66628,5.69308,0.75612,-0.154036
2.31,1.6737,1.57099,1.6737,5.74356,0.755983,-0.161733
2.32,1.68106,1.58777,1.68106,5.79448,0.75578,-0.169495
2.33,1.68834,1.60462,1.68834,5.84583,0.755512,-0.17732
2.34,1.69556,1.62154,1.69556,5.89763,0.755178,-0.185208
2.35,1.70271,1.63853,1.70271,5.94988,0.754778,-0.193157
2.36,1.70979,1.65559,1.70979,6.00258,0.754312,-0.201169
2.37,1.7168,1.67272,1.7168,6.05573,0.75378,-0.209242
2.38,1.72374,1.68993,1.72374,6.10936,0.753182,-0.217374
2.39,1.7306,1.7072,1.7306,6.16345,0.752518,-0.225567
2.4,1.73739,1.72454,1.73739,6.21802,0.751787,-0.233819
2.41,1.74411,1.74194,1.74411,6.27306,0.750991,-0.242129
2.42,1.75075,1.75942,1.75075,6.3286,0.750129,-0.250497
2.43,1.75732,1.77696,1.75732,6.38462,0.7492,-0.258922
2.44,1.76382,1.79456,1.76382,6.44114,0.748206,-0.267404
2.45,1.77023,1.81224,1.77023,6.49817,0.747145,-0.275942
2.46,1.77657,1.82997,1.77657,6.55571,0.746018,-0.284534
2.47,1.78283,1.84777,1.78283,6.61376,0.744825,-0.293182
2.48,1.78901,1.86563,1.78901,6.67233,0.743566,-0.301883
2.49,1.79512,1.88355,1.79512,6.73142,0.742241,-0.310636
2.5,1.80114,1.90153,1.80114,6.79105,0.74085,-0.319443
2.51,1.80709,1.91957,1.80709,6.85122,0.739394,-0.328301
2.52,1.81295,1.93767,1.81295,6.91194,0.737871,-0.33721
2.53,1.81873,1.95583,1.81873,6.97321,0.736283,-0.346169
2.54,1.82444,1.97404,1.82444,7.03503,0.734629,-0.355177
2.55,1.83005,1.99232,1.83005,7.09742,0.73291,-0.364235
2.56,1.83559,2.01064,1.83559,7.16038,0.731125,-0.37334
2.57,1.84104,2.02903,1.84104,7.22392,0.729274,-0.382492
2.58,1.84641,2.04747,1.84641,7.28804,0.727359,-0.391691
2.59,1.85169,2.06596,1.85169,7.35275,0.725378,-0.400936
2.6,1.85689,2.0845,1.85689,7.41806,0.723332,-0.410225
2.61,1.862,2.10309,1.862,7.48398,0.721221,-0.419559
2.62,1.86703,2.12174,1.86703,7.55051,0.719046,-0.428935
2.63,1.87197,2.14043,1.87197,7.61765,0.716806,-0.438355
2.64,1.87682,2.15918,1.87682,7.68542,0.714501,-0.447816
2.65,1.88158,2.17797,1.88158,7.75382,0.712132,-0.457318
2.66,1.88626,2.19681,1.88626,7.82287,0.709699,-0.46686
2.67,1.89085,2.21569,1.89085,7.89256,0.707202,-0.476442
2.68,1.89534,2.23463,1.89534,7.9629,0.704641,-0.486062
2.69,1.89975,2.2536,1.89975,8.03391,0.702017,-0.49572
2.7,1.90407,2.27262,1.90407,8.10559,0.699329,-0.505415
2.71,1.9083,2.29168,1.9083,8.17795,0.696578,-0.515145
2.72,1.91244,2.31079,1.91244,8.25099,0.693764,-0.524911
2.73,1.91648,2.32993,1.91648,8.32472,0.690887,-0.534711
2.74,1.92044,2.34912,1.92044,8.39915,0.687947,-0.544545
2.75,1.9243,2.36834,1.9243,8.4743,0.684946,-0.554411
2.76,1.92807,2.3876,1.92807,8.55016,0.681882,-0.564309
2.77,1.93175,2.4069,1.93175,8.62674,0.678756,-0.574238
2.78,1.93533,2.42624,1.93533,8.70406,0.675569,-0.584197
2.79,1.93883,2.44561,1.93883,8.78212,0.67232,-0.594185
2.8,1.94222,2.46501,1.94222,8.86093,0.66901,-0.604202
2.81,1.94553,2.48445,1.94553,8.94049,0.66564,-0.614246
2.82,1.94873,2.50392,1.94873,9.02083,0.662209,-0.624316
2.83,1.95185,2.52343,1.95185,9.10194,0.658717,-0.634412
2.84,1.95486,2.54296,1.95486,9.18383,0.655166,-0.644533
2.85,1.95779,2.56252,1.95779,9.26652,0.651555,-0.654678
2.86,1.96061,2.58211,1.96061,9.35001,0.647884,-0.664845
2.87,1.96334,2.60173,1.96334,9.43431,0.644155,-0.675035
2.88,1.96598,2.62138,1.96598,9.51943,0.640367,-0.685246
2.89,1.96852,2.64105,1.96852,9.60539,0.63652,-0.695477
2.9,1.97096,2.66075,1.97096,9.69217,0.632615,-0.705727
2.91,1.9733,2.68047,1.9733,9.77981,0.628653,-0.715996
2.92,1.97555,2.70022,1.97555,9.86831,0.624633,-0.726283
2.93,1.9777,2.71998,1.9777,9.95767,0.620556,-0.736586
2.94,1.97975,2.73977,1.97975,10.0479,0.616422,-0.746904
2.95,1.9817,2.75958,1.9817,10.139,0.612232,-0.757238
2.96,1.98356,2.7794,1.98356,10.2311,0.607986,-0.767585
2.97,1.98531,2.79925,1.98531,10.324,0.603685,-0.777945
2.98,1.98697,2.81911,1.98697,10.4178,0.599328,-0.788317
2.99,1.98853,2.83899,1.98853,10.5126,0.594916,-0.7987
3,1.98999,2.85888,1.98999,10.6083,0.59045,-0.809093
3.01,1.99135,2.87879,1.99135,10.705,0.58593,-0.819495
3.02,1.99262,2.89871,1.99262,10.8026,0.581356,-0.829906
3.03,1.99378,2.91864,1.99378,10.9012,0.576728,-0.840323
3.04,1.99484,2.93858,1.99484,11.0008,0.572048,-0.850747
3.05,1.99581,2.95854,1.99581,11.1013,0.567316,-0.861176
3.06,1.99667,2.9785,1.99667,11.2029,0.562532,-0.87161
3.07,1.99744,2.99847,1.99744,11.3054,0.557696,-0.882047
3.08,1.9981,3.01845,1.9981,11.409,0.552808,-0.892487
3.09,1.99867,3.03843,1.99867,11.5137,0.547871,-0.902928
3.1,1.99914,3.05842,1.99914,11.6193,0.542883,-0.91337
3.11,1.9995,3.07841,1.9995,11.7261,0.537845,-0.923812
3.12,1.99977,3.09841,1.99977,11.8339,0.532758,-0.934252
3.13,1.99993,3.11841,1.99993,11.9427,0.527622,-0.94469
3.14,2,3.13841,2,12.0527,0.522437,-0.955124
3.15,1.99996,3.15841,1.99996,12.1638,0.517205,-0.965555
3.16,1.99983,3.17841,1.99983,12.276,0.511925,-0.975981
3.17,1.9996,3.1984,1.9996,12.3893,0.506598,-0.9864
3.18,1.99926,3.2184,1.99926,12.5038,0.501225,-0.996812
3.19,1.99883,3.23839,1.99883,12.6194,0.495806,-1.00722
3.2,1.99829,3.25837,1.99829,12.7362,0.490341,-1.01761
3.21,1.99766,3.27835,1.99766,12.8542,0.484832,-1.028
3.22,1.99693,3.29833,1.99693,12.9734,0.479278,-1.03837
3.23,1.99609,3.31829,1.99609,13.0937,0.47368,-1.04873
3.24,1.99516,3.33825,1.99516,13.2153,0.468039,-1.05908
3.25,1.99413,3.3582,1.99413,13.3381,0.462354,-1.06942
3.26,1.993,3.37813,1.993,13.4622,0.456628,-1.07974
3.27,1.99177,3.39805,1.99177,13.5875,0.450859,-1.09005
3.28,1.99044,3.41797,1.99044,13.7141,0.44505,-1.10034
3.29,1.98901,3.43786,1.98901,13.842,0.439199,-1.11061
3.3,1.98748,3.45775,1.98748,13.9712,0.433309,-1.12086
3.31,1.98585,3.47761,1.98585,14.1017,0.427378,-1.1311
3.32,1.98413,3.49746,1.98413,14.2335,0.421409,-1.14131
3.33,1.9823,3.51729,1.9823,14.3667,0.415401,-1.1515
3.34,1.98038,3.53711,1.98038,14.5012,0.409355,-1.16167
3.35,1.97836,3.5569,1.97836,14.6371,0.403272,-1.17182
3.36,1.97624,3.57668,1.97624,14.7744,0.397152,-1.18194
3.37,1.97403,3.59643,1.97403,14.9131,0.390996,-1.19204
3.38,1.97172,3.61616,1.97172,15.0532,0.384804,-1.20211
3.39,1.96931,3.63586,1.96931,15.1947,0.378577,-1.21215
3.4,1.9668,3.65554,1.9668,15.3377,0.372315,-1.22217
3.41,1.96419,3.6752,1.96419,15.4821,0.36602,-1.23215
3.42,1.96149,3.69482,1.96149,15.628,0.359691,-1.24211
3.43,1.9587,3.71443,1.9587,15.7755,0.35333,-1.25204
3.44,1.95581,3.734,1.95581,15.9244,0.346936,-1.26193
3.45,1.95282,3.75354,1.95282,16.0748,0.340511,-1.2718
3.46,1.94974,3.77305,1.94974,16.2268,0.334055,-1.28162
3.47,1.94656,3.79254,1.94656,16.3804,0.327569,-1.29142
3.48,1.94328,3.81199,1.94328,16.5355,0.321053,-1.30118
3.49,1.93992,3.8314,1.93992,16.6922,0.314509,-1.3109
3.5,1.93646,3.85078,1.93646,16.8506,0.307935,-1.32059
3.51,1.9329,3.87013,1.9329,17.0105,0.301334,-1.33023
3.52,1.92925,3.88944,1.92925,17.1721,0.294706,-1.33984
3.53,1.92551,3.90871,1.92551,17.3354,0.288052,-1.34941
3.54,1.92168,3.92795,1.92168,17.5003,0.281371,-1.35894
3.55,1.91775,3.94715,1.91775,17.667,0.274666,-1.36842
3.56,1.91374,3.96631,1.91374,17.8353,0.267935,-1.37787
3.57,1.90963,3.98542,1.90963,18.0054,0.261181,-1.38727
3.58,1.90543,4.0045,1.90543,18.1772,0.254403,-1.39662
3.59,1.90114,4.02353,1.90114,18.3508,0.247603,-1.40593
3.6,1.89676,4.04252,1.89676,18.5262,0.240781,-1.4152
3.61,1.89229,4.06147,1.89229,18.7034,0.233937,-1.42441
3.62,1.88773,4.08037,1.88773,18.8825,0.227073,-1.43358
3.63,1.88308,4.09922,1.88308,19.0633,0.220189,-1.4427
3.64,1.87835,4.11803,1.87835,19.2461,0.213285,-1.45177
3.65,1.87352,4.13679,1.87352,19.4307,0.206363,-1.4608
3.66,1.86861,4.1555,1.86861,19.6172,0.199422,-1.46976
3.67,1.86361,4.17416,1.86361,19.8057,0.192465,-1.47868
3.68,1.85853,4.19277,1.85853,19.9961,0.18549,-1.48755
3.69,1.85336,4.21133,1.85336,20.1884,0.1785,-1.49636
3.7,1.8481,4.22984,1.8481,20.3828,0.171494,-1.50511
3.71,1.84276,4.24829,1.84276,20.5791,0.164473,-1.51381
3.72,1.83733,4.26669,1.83733,20.7775,0.157439,-1.52246
3.73,1.83183,4.28504,1.83183,20.9779,0.150391,-1.53104
3.74,1.82623,4.30333,1.82623,21.1804,0.14333,-1.53957
3.75,1.82056,4.32156,1.82056,21.385,0.136258,-1.54804
3.76,1.8148,4.33974,1.8148,21.5917,0.129174,-1.55645
3.77,1.80896,4.35786,1.80896,21.8006,0.12208,-1.56481
3.78,1.80305,4.37592,1.80305,22.0116,0.114976,-1.57309
3.79,1.79705,4.39392,1.79705,22.2248,0.107862,-1.58132
3.8,1.79097,4.41186,1.79097,22.4401,0.10074,-1.58949
3.81,1.78481,4.42974,1.78481,22.6578,0.0936105,-1.59759
3.82,1.77857,4.44755,1.77857,22.8776,0.0864736,-1.60563
3.83,1.77226,4.46531,1.77226,23.0997,0.0793302,-1.6136
3.84,1.76587,4.483,1.76587,23.3242,0.0721811,-1.62151
3.85,1.7594,4.50063,1.7594,23.5509,0.0650268,-1.62935
3.86,1.75285,4.51819,1.75285,23.78,0.0578682,-1.63712
3.87,1.74624,4.53568,1.74624,24.0115,0.050706,-1.64482
3.88,1.73954,4.55311,1.73954,24.2453,0.0435407,-1.65246
3.89,1.73277,4.57047,1.73277,24.4816,0.0363732,-1.66003
3.9,1.72593,4.58777,1.72593,24.7203,0.029204,-1.66752
3.91,1.71902,4.60499,1.71902,24.9615,0.022034,-1.67495
3.92,1.71203,4.62215,1.71203,25.2052,0.0148638,-1.68231
3.93,1.70498,4.63923,1.70498,25.4514,0.00769404,-1.68959
3.94,1.69785,4.65625,1.69785,25.7001,0.000525496,-1.6968
3.95,1.69065,4.67319,1.69065,25.9514,-0.00664115,-1.70393
