"time","uDC","iAC[1]","iAC[2]","iAC[3]","uAC[1]","uAC[2]","uAC[3]","Losses"
0.0208,580.66,240.228,-491.581,251.352,585.391,-585.402,0.0111239,3343.84
0.0211,578.782,370.073,-451.644,81.5708,583.603,-583.314,-0.288502,3162.6
0.0214,575.551,-0.485117,-124.231,124.716,47.3406,-579.799,532.458,1477
0.0217,573.292,47.4085,-442.886,395.478,577.781,-578.129,0.348069,3115.77
0.022,570.326,600.781,-469.834,-130.947,575.396,-0.338886,-575.057,3981.19
0.0223,572.843,321.649,-486.047,164.399,577.65,-577.492,-0.15725,3298.8
0.0226,571.316,156.538,-471.782,315.244,575.944,-576.102,0.158706,3216.22
0.0229,568.925,102.832,-420.002,317.17,573.447,-573.661,0.214338,2942.02
0.0232,565.846,151.762,-320.149,168.387,570.317,-570.333,0.0166246,2398.41
0.0235,562.089,292.387,-161.658,-130.729,566.542,-0.030928,-566.511,2249.46
0.0238,558.204,199.528,-246.255,46.7278,562.648,-562.495,-0.1528,2025.78
0.0241,554.309,176.933,-245.331,68.3983,558.731,-558.622,-0.108534,2002.6
0.0244,550.488,210.437,-148.545,-61.8929,554.846,-0.0866515,-554.76,1824.34
0.0247,546.064,592.727,-559.284,-33.4431,551.215,-0.52584,-550.689,3933.98
0.025,548.829,689.382,-236.745,-452.637,553.754,0.215892,-553.97,4400.63
0.0253,551.152,471.538,-83.9797,-387.558,555.706,0.303578,-556.01,3180.36
0.0256,549.661,547.786,-407.788,-139.998,554.615,-0.26779,-554.348,3586.78
0.0259,548.931,292.646,28.3839,-321.03,0.264262,553.279,-553.544,2380.89
0.0262,547.166,309.899,-4.16347,-305.736,551.479,0.301572,-551.781,2330.58
0.0265,544.682,278.256,114.007,-392.264,0.164249,549.187,-549.352,2706.65
0.0268,542.979,489.105,-224.789,-264.316,547.692,0.0395273,-547.732,3203.77
0.0271,542.396,318.28,198.901,-517.18,0.119379,547.111,-547.231,3362.89
0.0274,542.901,360.24,166.918,-527.157,0.193322,547.594,-547.787,3431.63
0.0277,543.805,297.39,284.8,-582.19,0.0125895,548.671,-548.684,3727.69
0.028,543.913,422.596,-60.5863,-362.01,548.395,0.301423,-548.696,2894.47
0.0283,544.233,121.667,344.404,-466.071,-0.222737,549.043,-548.82,3106.76
0.0286,542.211,-5.41886,275.421,-270.002,-546.491,546.756,-0.264583,2135.7
0.0289,542.519,37.3092,640.294,-677.603,-0.602984,547.836,-547.233,4467.15
0.0292,547.131,236.882,512.547,-749.429,-0.275664,552.391,-552.116,4779.5
0.0295,551.074,287.095,482.544,-769.639,-0.195448,556.325,-556.13,4900.52
0.0298,555.368,183.62,542.201,-725.821,-0.358581,560.635,-560.276,4686.43
0.0301,559.785,-77.0808,680.497,-603.416,-564.541,565.068,-0.526335,4498.54
0.0304,564.003,134.535,569.604,-704.139,-0.435069,569.275,-568.84,4612.59
0.0307,567.89,197.377,507.72,-705.097,-0.310342,573.102,-572.792,4585.19
0.031,571.245,111.554,483.896,-595.45,-0.372341,576.324,-575.951,3965.34
0.0313,573.758,-119.585,486.873,-367.288,-578.363,578.611,-0.247703,3324.77
0.0315,572.88,74.5909,284.772,-359.363,-0.210181,577.523,-577.312,2641.26
0.0317,571.968,-434.593,410.839,23.7548,-576.813,0.387083,576.426,3081.47
0.0319,572.406,-42.8082,537.803,-494.995,-576.985,577.437,-0.452186,3673.67
0.0321,572.23,-28.0154,339.226,-311.211,-576.596,576.88,-0.283195,2555.39
0.0323,569.387,-68.8407,134.962,-66.1215,-573.59,573.587,0.00271919,1543.19
0.0325,564.332,151.791,243.942,-395.733,-0.0921508,568.97,-568.878,2780.88
0.0327,563.941,-314.293,658.576,-344.283,-568.913,568.943,-0.0299897,4242.8
0.0329,565.258,-509.189,419.415,89.7744,-570.185,0.32964,569.856,3441.93
0.0331,566.006,-429.521,470.14,-40.619,-570.905,570.516,0.388901,3252.21
0.0333,566.2,-387.893,491.381,-103.488,-571.078,570.794,0.284404,3333.29
0.0335,566.38,-381.623,479.547,-97.9242,-571.24,570.956,0.283698,3269.13
0.0337,566.548,-407.133,431.188,-24.0551,-571.385,571.002,0.383078,3043.34
0.0339,566.66,-460.752,343.017,117.735,-571.463,0.225282,571.237,3153.53
0.0341,565.983,-538.315,211.19,327.124,-570.732,-0.115934,570.848,3559.06
0.0343,565.728,-319.755,350.635,-30.8804,-570.398,570.109,0.288874,2592.22
0.0345,564.936,-435.817,125.045,310.773,-569.496,-0.185728,569.681,3006.26
0.0347,563.423,-248.38,164.339,84.041,-567.834,0.0802977,567.754,2044.99
0.0349,559.484,-388.108,-163.486,551.594,-0.224622,-564.198,564.422,3630.4
0.0351,560.595,-535.317,394.878,140.439,-565.524,0.254439,565.27,3549.64
0.0353,560.482,-366.09,265.459,100.632,-565.113,0.164827,564.948,2624.76
0.0355,558.102,-193.569,75.5519,118.017,-562.37,-0.0424653,562.412,1769.16
0.0357,553.69,-329.695,448.438,-118.742,-558.467,558.256,0.210953,3040.68
0.0359,553.723,-767.222,446.84,320.383,-558.936,0.126457,558.809,4882.97
0.0361,556.608,-563.888,67.9913,495.896,-561.239,-0.427905,561.667,3756.83
0.0363,557.674,-645.875,244.264,401.612,-562.563,-0.157347,562.721,4157.95
0.0365,558.797,-699.364,352.513,346.851,-563.848,0.00566153,563.842,4471.24
0.0367,560.49,-407.15,-234.361,641.511,-0.172788,-565.364,565.537,4144.08
0.0369,561.82,-391.808,-263.106,654.914,-0.128702,-566.737,566.865,4221.6
0.0371,563.01,-336.69,-360.019,696.708,0.023329,-568.066,568.042,4469.52
0.0373,564.762,-554.164,106.859,447.305,-569.422,-0.340446,569.763,3695.51
0.0375,566.077,-409.671,-124.486,534.157,-0.285185,-570.735,571.02,3570
0.0377,566.13,-215.347,-422.697,638.043,0.20735,-571.19,570.982,4149.22
0.0379,567.275,-287.518,-150.904,438.422,-0.136614,-571.863,572,3020.14
0.0381,565.79,-305.593,56.8564,248.737,-570.151,-0.19188,570.343,2344.61
0.0383,564.449,-585.472,-116.41,701.882,-0.469061,-569.266,569.735,4615.68
0.0385,566.528,-490.557,-32.9457,523.502,-0.457611,-571.084,571.541,3576.05
0.0387,566.211,-333.926,-5.99145,339.917,-0.327934,-570.556,570.883,2551.93
0.0389,563.431,-116.576,-35.6453,152.221,-0.0809304,-567.618,567.699,1602.66
0.0391,558.234,-467.704,192.09,275.614,-562.893,-0.0835243,562.977,3140.65
0.0393,557.979,-441.69,-260.966,702.656,-0.180724,-562.941,563.122,4504.9
0.0395,559.951,-36.117,-447.522,483.639,0.411404,-564.881,564.469,3314.03
0.0397,560.196,-189.685,-362.666,552.351,0.172981,-565.11,564.937,3626.82
0.0399,560.471,-275.083,-317.626,592.709,0.042543,-565.38,565.338,3844.44
0.0401,560.841,-292.096,-308.89,600.985,0.0167938,-565.75,565.733,3892.84
0.0403,561.32,-240.766,-332.734,573.499,0.0919682,-566.225,566.133,3740.18
0.0405,561.875,-121.39,-385.318,506.708,0.263928,-566.765,566.501,3397.26
0.0407,562.42,65.4798,-462.782,397.303,566.947,-567.279,0.331822,3179.75
0.0409,562.033,319.556,-561.239,241.683,566.913,-566.835,-0.0778727,3671.48
0.0411,562.152,9.68838,-362.301,352.613,566.523,-566.866,0.342924,2656.31
0.0413,560.471,394.124,-492.401,98.2766,565.356,-565.06,-0.295847,3322.79
0.0415,559.765,213.764,-319.742,105.978,564.297,-564.19,-0.107786,2381.5
0.0417,556.784,96.7866,-155.151,58.3642,561.034,-560.996,-0.0384223,1590.81
0.0419,551.636,43.4677,0.696091,-44.1638,0.0427716,555.68,-555.723,1096.71
0.0421,550.914,53.5588,-776.808,723.249,555.744,-556.413,0.66969,5150.44
0.0423,554.059,116.343,-615.174,498.831,558.789,-559.172,0.382488,4025.77
0.0425,554.989,227.98,-435.841,207.861,559.652,-559.632,-0.0201193,2955.87
0.0427,553.471,387.943,-239.722,-148.221,558.098,-0.0915014,-558.006,2704.02
0.0429,552.339,286.031,-336.398,50.3669,556.96,-556.724,-0.235664,2461.65
0.0431,550.603,229.35,-410.102,180.751,555.241,-555.193,-0.0485989,2806.65
0.0433,549.122,214.491,-457.408,242.917,553.793,-553.821,0.0284266,3051.76
0.0435,547.985,237.497,-474.244,236.748,552.696,-552.695,-0.00074911,3138.48
0.0437,547.228,294.166,-456.546,162.38,551.977,-551.846,-0.131786,3049.17
0.0439,546.829,380.156,-400.361,20.205,551.609,-551.249,-0.35995,2807
0.0441,546.714,491.089,-301.957,-189.132,551.506,-0.112824,-551.393,3232.44
0.0443,545.973,315.821,-462.667,146.846,550.751,-550.582,-0.168975,3083.57
0.0445,545.976,463.972,-269.176,-194.796,550.708,-0.0743792,-550.634,3079.1
0.0447,544.979,318.331,-328.935,10.6042,549.625,-549.317,-0.307726,2419.66
0.0449,544.181,488.364,-30.5562,-457.808,548.699,0.427252,-549.126,3294.14
0.0451,543.565,357.16,19.552,-376.712,0.337608,547.96,-548.298,2666.35
0.0453,543.364,531.208,-479.293,-51.9155,548.374,-0.427377,-547.946,3528.42
0.0455,543.311,394.922,-307.066,-87.8557,548.012,-0.21921,-547.793,2726.47
0.0457,541.414,250.589,-72.5813,-178.008,545.736,0.105426,-545.841,1984.74
0.0459,538.017,400.239,-380.802,-19.4373,542.797,-0.361364,-542.436,2778.15
0.0461,536.131,235.717,-20.9687,-214.749,540.386,0.19378,-540.58,1910.51
0.0463,533.214,354.104,-196.164,-157.941,537.764,-0.0382231,-537.725,2461.38
0.0465,530.862,450.366,-303.47,-146.896,535.615,-0.156573,-535.458,2966.59
0.0467,529.445,222.851,251.306,-474.157,-0.0284545,534.17,-534.141,3078.38
0.0469,528.549,261.074,279.346,-540.42,-0.0182717,533.368,-533.35,3441.19
0.0471,528.383,558.662,-216.258,-342.404,533.157,0.126146,-533.283,3551.49
0.0473,529.087,519.075,-51.7136,-467.362,533.657,0.415648,-534.072,3409.81
0.0475,530.435,434.221,179.61,-613.832,0.25461,535.227,-535.482,3900.18
0.0477,531.471,595.918,-116.747,-479.171,536.183,0.362424,-536.545,3832.59
0.0479,533.519,408.468,245.866,-654.333,0.162602,538.418,-538.581,4129.9
0.0481,535.162,462.815,74.464,-537.279,0.388351,539.772,-540.161,3519.93
0.0483,535.257,459.69,-35.7829,-423.907,539.751,0.388124,-540.139,3093.76
0.0485,536.086,99.4126,512.739,-612.152,-0.413326,541.21,-540.796,3961.5
0.0487,537.176,-22.4479,517.655,-495.207,-541.715,542.188,-0.472759,3453.21
0.0489,538.835,393.268,277.028,-670.296,0.116239,543.781,-543.898,4236.14
0.0491,540.627,140.973,387.82,-528.793,-0.246847,545.543,-545.296,3445.14
0.0493,540.54,428.088,244.158,-672.246,0.18393,545.455,-545.639,4263.56
0.0495,542.236,42.0331,450.243,-492.276,-0.408209,547.178,-546.77,3301.23
0.0497,542.624,195.597,394.821,-590.419,-0.199224,547.608,-547.408,3790.98
0.0499,543.432,281.1,378.662,-659.763,-0.097562,548.47,-548.372,4185.95
0.0501,544.719,298.326,397.608,-695.934,-0.0992817,549.812,-549.712,4408.57
0.0503,546.482,247.312,447.307,-694.619,-0.199995,551.623,-551.423,4421.42
0.0505,548.662,128.349,523.328,-651.678,-0.394979,553.836,-553.441,4228.12
0.0507,551.142,-58.0187,621.267,-563.249,-555.82,556.325,-0.505229,4106.23
0.0509,552.959,-312.696,737.385,-424.688,-558.008,558.12,-0.111992,4692.01
0.0511,555.492,-12.2737,556.704,-544.43,-560.06,560.592,-0.532156,3762.33
0.0513,556.408,-397.415,696.524,-299.11,-561.501,561.402,0.0983045,4450.75
0.0515,558.452,-220.798,530.695,-309.897,-563.202,563.291,-0.0890981,3488.16
0.0517,558.29,-104.474,366.755,-262.281,-562.76,562.918,-0.157807,2619.64
0.0519,555.951,-48.673,205.29,-156.617,-560.204,560.312,-0.107944,1820.78
0.0521,551.468,-53.36,46.8195,6.5405,-555.567,0.040279,555.527,1134.18
0.0523,548.52,-423.996,506.757,-82.7612,-553.45,553.108,0.341234,3376.36
0.0525,548.385,-234.185,647.861,-413.675,-553.266,553.446,-0.17949,4142.6
0.0527,549.741,-400.674,464.129,-63.4542,-554.604,554.267,0.33722,3146.43
0.0529,549.484,-304.274,566.079,-261.806,-554.353,554.311,0.0424678,3654.98
0.0531,549.597,-558.315,335.191,223.124,-554.489,0.112066,554.377,3616.58
0.0533,550.078,-543.661,383.151,160.51,-555.004,0.222641,554.781,3553.83
0.0535,550.673,-564.008,397.655,166.353,-555.633,0.231302,555.402,3672.96
0.0537,551.38,-615.192,374.66,240.533,-556.369,0.134127,556.234,3952.82
0.0539,552.142,-692.956,310.313,382.643,-557.144,-0.0723303,557.217,4412.61
0.0541,553.98,-483.379,510.733,-27.3545,-558.973,558.517,0.456024,3462.18
0.0543,555.331,-601.33,353.137,248.193,-560.285,0.104945,560.18,3881.73
0.0545,556.052,-421.695,454.14,-32.4449,-560.926,560.537,0.38925,3132.59
0.0547,556.707,-564.516,191.513,373.003,-561.462,-0.18149,561.643,3685.65
0.0549,556.998,-401.465,184.179,217.287,-561.582,-0.0331081,561.615,2782.25
0.0551,555.129,-242.737,119.652,123.085,-559.49,-0.00343285,559.493,1987.17
0.0553,551.159,-88.7893,-1.69831,90.4876,-0.0870909,-555.25,555.337,1292.66
0.0555,548.629,-554.739,129.572,425.168,-553.312,-0.295596,553.608,3630.52
0.0557,548.821,-396.883,-110.818,507.701,-0.286065,-553.439,553.725,3365.26
0.0559,549.653,-532.228,197.905,334.323,-554.382,-0.136419,554.518,3472.76
0.0561,549.438,-340.454,-174.726,515.18,-0.165728,-554.127,554.292,3381.5
0.0563,549.814,-434.741,1.04309,433.697,-554.249,-0.432654,554.682,3026.24
0.0565,549.772,-502.799,109.313,393.487,-554.383,-0.284174,554.668,3340.83
0.0567,550.047,-540.389,149.306,391.083,-554.736,-0.241777,554.977,3539.76
0.0569,550.673,-543.404,120.98,422.424,-555.336,-0.301443,555.638,3575
0.0571,551.631,-507.841,24.5479,483.293,-556.163,-0.458745,556.621,3439.64
0.0573,552.847,-429.909,-139.525,569.434,-0.290384,-557.555,557.845,3726.51
0.0575,553.475,-304.843,-371.537,676.38,0.0666937,-558.522,558.455,4316.3
0.0577,555.173,-441.161,-48.7308,489.891,-0.392429,-559.71,560.103,3324.53
0.0579,555.015,-214.686,-412.111,626.797,0.197425,-560.052,559.855,4043.44
0.0581,556.13,-245.917,-216.394,462.311,-0.0295232,-560.808,560.838,3101.45
0.0583,555.071,-220.513,-82.673,303.186,-0.13784,-559.455,559.593,2287.76
0.0585,551.908,-138.702,-11.2092,149.911,-0.127493,-556.068,556.196,1558.6
0.0587,546.73,306.677,-617.011,310.334,551.653,-551.657,0.00365642,3939.12
0.0589,547.786,-109.608,-359.779,469.387,0.25017,-552.614,552.364,3142.82
0.0591,546.919,-461.92,-154.675,616.596,-0.307245,-551.69,551.997,3984.51
0.0593,547.888,-135.315,-307.15,442.465,0.171835,-552.637,552.465,2982.11
0.0595,546.821,-355.698,-199.332,555.03,-0.156365,-551.574,551.731,3594.75
0.0597,546.834,103.964,-442.854,338.891,551.38,-551.615,0.234927,2993.55
0.0599,546.613,18.5903,-420.907,402.316,551.051,-551.435,0.383726,2922.62
0.0601,546.567,1.66978,-436.393,434.724,551.004,-551.437,0.433053,3024.48
0.0603,546.726,53.1805,-485.077,431.896,551.263,-551.642,0.378715,3264.97
0.0605,547.064,172.815,-562.567,389.752,551.798,-552.015,0.216936,3649.63
0.0607,547.499,359.983,-664.434,304.45,552.522,-552.467,-0.0555331,4224.03
0.0609,549.04,-0.169227,-479.322,479.491,192.385,-553.997,361.612,3147.41
0.0611,549.504,106.345,-510.406,404.061,554.12,-554.417,0.297716,3385.87
0.0613,549.199,490.996,-660.521,169.526,554.35,-554.028,-0.32147,4256.34
0.0615,550.817,322.204,-511.084,188.88,555.65,-555.516,-0.133324,3358.53
0.0617,550.451,214.09,-364.305,150.215,555.029,-554.965,-0.0638748,2570.63
0.0619,548.138,166.635,-220.272,53.6361,552.524,-552.411,-0.112999,1864.9
0.0621,544.021,-126.152,-384.688,510.841,0.258536,-548.916,548.657,3359.36
0.0623,544.864,553.764,-545.584,-8.18059,549.963,-0.537402,-549.425,3713.33
0.0625,547.023,369.964,-691.768,321.804,552.084,-552.036,-0.0481594,4387.03
0.0627,548.974,537.35,-510.589,-26.7611,554.021,-0.483827,-553.537,3606.97
0.0629,550.657,441.873,-612.746,170.873,555.711,-555.44,-0.271,3963.86
0.0631,551.807,385.428,-687.306,301.878,556.879,-556.795,-0.0835495,4378.07
0.0633,553.425,675.458,-421.188,-254.269,558.52,-0.166919,-558.354,4322.28
0.0635,555.139,689.306,-429.014,-260.291,560.257,-0.168723,-560.088,4412.03
0.0637,556.874,732.173,-397.547,-334.626,562.002,-0.062921,-561.939,4668.45
0.0639,559.114,487.518,-635.556,148.037,564.236,-563.897,-0.339481,4146.92
0.0641,561.236,575.889,-515.046,-60.8433,566.326,-0.454202,-565.871,3852.5
0.0643,562.339,681.761,-344.316,-337.445,567.364,-0.00687138,-567.358,4376.31
0.0645,564.079,485.702,-437.27,-48.432,569.001,-0.388838,-568.612,3330.2
0.0647,563.718,615.171,-160.751,-454.42,568.493,0.293668,-568.786,4028.17
0.0649,564.631,436.009,-145.548,-290.461,569.212,0.144913,-569.357,2999.5
0.0651,563.166,259.961,-72.5477,-187.413,567.497,0.114865,-567.612,2102.65
0.0653,559.366,87.9827,57.6322,-145.615,0.0303505,563.568,-563.598,1556.75
0.0655,556.861,544.621,-68.8491,-475.771,561.473,0.406922,-561.88,3639.81
0.0657,557.176,680.343,-443.056,-237.287,562.298,-0.205769,-562.092,4371.51
0.0659,558.935,488.305,-126.798,-361.506,563.549,0.234707,-563.784,3279
0.0661,558.441,589.083,-369.645,-219.438,563.399,-0.150207,-563.249,3827.06
0.0663,558.848,355.052,80.5726,-435.624,0.274479,563.363,-563.638,3005.1
0.0665,558.672,408.056,-27.4273,-380.629,563.107,0.353201,-563.46,2884.06
0.0667,558.196,431.496,-67.3504,-364.146,562.694,0.296795,-562.991,2987.4
0.0669,557.887,421.71,-38.9018,-382.808,562.346,0.343906,-562.69,2949.79
0.0671,557.743,374.994,57.7011,-432.696,0.317293,562.232,-562.549,2998.53
0.0673,557.221,287.344,222.302,-509.646,0.0650415,561.952,-562.017,3365.13
0.0675,556.604,467.727,-169.816,-297.912,561.24,0.128096,-561.368,3140.03
0.0677,556.445,289.875,128.334,-418.208,0.161541,560.99,-561.152,2880.46
0.0679,554.797,62.316,491.185,-553.501,-0.428868,559.841,-559.412,3692.24
0.0681,554.938,94.5675,295.717,-390.285,-0.201149,559.623,-559.422,2737.05
0.0683,552.927,71.2582,163.323,-234.581,-0.0920642,557.324,-557.232,1945.6
0.0685,548.867,-7.42258,94.2234,-86.8008,-552.968,553.047,-0.0793781,1300.42
0.0687,546.452,166.435,392.904,-559.338,-0.226469,551.403,-551.177,3631.39
0.0689,546.743,-29.2349,442.391,-413.156,-551.213,551.597,-0.383921,3036.89
0.0691,547.285,322.858,239.24,-562.098,0.0836174,552.085,-552.169,3627.66
0.0693,547.525,-3.48842,391.229,-387.741,-551.919,552.303,-0.384252,2770.97
0.0695,547.445,216.963,284.218,-501.182,-0.0672552,552.23,-552.163,3286.13
0.0697,546.767,369.982,220.608,-590.59,0.149375,551.578,-551.727,3796.85
0.0699,547.167,-157.712,504.436,-346.723,-551.828,552.017,-0.189011,3318.74
0.0701,547.305,-140.638,518.413,-377.775,-551.963,552.2,-0.237136,3406.81
0.0703,547.629,-191.991,565.29,-373.3,-552.385,552.567,-0.181309,3659.9
0.0705,548.109,-311.461,640.713,-329.251,-553.06,553.077,-0.0177902,4083.33
0.0707,549.254,116.025,433.049,-549.074,-0.317023,554.235,-553.918,3607.1
0.0709,550.521,-137.587,552.516,-414.929,-555.21,555.488,-0.277341,3618.95
0.0711,550.736,-457.649,687.487,-229.839,-555.88,555.652,0.22781,4398.08
0.0713,552.668,-224.038,525.432,-301.394,-557.416,557.494,-0.0773555,3438.48
0.0715,552.46,-52.7853,369.744,-316.959,-556.882,557.146,-0.264173,2637.88
0.0717,550.262,-561.579,529.49,32.0887,-555.352,0.497401,554.854,3754.73
0.0719,552.417,-205.038,691.276,-486.238,-557.312,557.593,-0.2812,4440.24
0.0721,554.435,-211.328,535.435,-324.107,-559.18,559.293,-0.112779,3503.65
0.0723,554.338,-270.573,368.577,-98.004,-558.976,558.803,0.172568,2618.16
0.0725,552.238,-72.6065,500.967,-428.361,-556.811,557.167,-0.355754,3361.81
0.0727,551.609,-235.9,310.257,-74.357,-556.154,555.992,0.161542,2314.59
0.0729,549.222,-138.076,410.18,-272.104,-553.77,553.904,-0.134028,2810.3
0.0731,547.26,-393.539,181.547,211.992,-551.834,-0.0304456,551.865,2708.69
0.0733,545.629,-383.934,235.131,148.803,-550.247,0.0863281,550.161,2656.97
0.0735,544.191,-412.811,258.722,154.089,-548.861,0.104633,548.756,2804.03
